t,v_ref,w_ref,delta_ref,v_cmd,delta_cmd,v_meas,delta_meas,v_err,delta_err,clamped,vel_rate_limited,steer_rate_limited,fl,fr,rl,rr,steer_l,steer_r,heading,curvature,x,y
0.01000000,1.00000000,0.50000000,0.46364761,0.11550000,0.00800000,0.00385000,0.00800000,0.99615000,0.45564761,0,1,1,7.33554676,7.37084058,7.33531089,7.37060585,0.00801925,0.00798085,0.00000000,0.00800017,0.00003850,0.00000000
0.02000000,1.00000000,0.50000000,0.46364761,0.10885000,0.01600000,0.00735000,0.01600000,0.99265000,0.44764761,0,0,1,6.89723264,6.96375402,6.89634127,6.96287117,0.01607716,0.01592357,0.00000062,0.01600137,0.00011200,0.00000000
0.03000000,1.00000000,0.50000000,0.46364761,0.11235000,0.02400000,0.01085000,0.02400000,0.98915000,0.43964761,0,0,1,7.10299114,7.20597614,7.10091581,7.20393048,0.02417402,0.02382847,0.00000238,0.02400461,0.00022050,0.00000000
0.04000000,1.00000000,0.50000000,0.46364761,0.11585000,0.03200000,0.01435000,0.03200000,0.98565000,0.43164761,0,0,1,7.30822793,7.44980836,7.30441358,7.44606654,0.03231007,0.03169582,0.00000585,0.03201093,0.00036400,0.00000000
0.05000000,1.00000000,0.50000000,0.46364761,0.11935000,0.04000000,0.01785000,0.04000000,0.98215000,0.42364761,0,0,1,7.51298800,7.69529272,7.50683164,7.68928233,0.04048556,0.03952594,0.00001160,0.04002135,0.00054250,0.00000000
0.06000000,1.00000000,0.50000000,0.46364761,0.12285000,0.04800000,0.02135000,0.04800000,0.97865000,0.41564761,0,0,1,7.71731676,7.94247139,7.70816675,7.93358106,0.04870074,0.04731912,0.00002017,0.04803690,0.00075600,0.00000001
0.07000000,1.00000000,0.50000000,0.46364761,0.12635000,0.05600000,0.02485000,0.05600000,0.97515000,0.40764761,0,0,1,7.92126006,8.19138672,7.90841538,8.17896627,0.05695584,0.05507568,0.00003214,0.05605861,0.00100450,0.00000002
0.08000000,1.00000000,0.50000000,0.46364761,0.12985000,0.06400000,0.02835000,0.06400000,0.97165000,0.39964761,0,0,1,8.12486423,8.44208123,8.10757374,8.42544175,0.06525108,0.06279593,0.00004807,0.06408752,0.00128800,0.00000003
0.09000000,1.00000000,0.50000000,0.46364761,0.13335000,0.07200000,0.03185000,0.07200000,0.96815000,0.39164761,0,0,1,8.32817608,8.69459769,8.30563773,8.67301160,0.07358667,0.07048020,0.00006851,0.07212467,0.00160650,0.00000005
0.10000000,1.00000000,0.50000000,0.46364761,0.13685000,0.08000000,0.03535000,0.08000000,0.96465000,0.38364761,0,0,1,8.53124297,8.94897908,8.50260298,8.92168019,0.08196281,0.07812881,0.00009405,0.08017110,0.00196000,0.00000008
0.11000000,1.00000000,0.50000000,0.46364761,0.14035000,0.08800000,0.03885000,0.08800000,0.96115000,0.37564761,0,0,1,8.73411280,9.20526869,8.69846482,9.17145219,0.09037971,0.08574210,0.00012524,0.08822786,0.00234850,0.00000013
0.12000000,1.00000000,0.50000000,0.46364761,0.14385000,0.09600000,0.04235000,0.09600000,0.95765000,0.36764761,0,0,1,8.93683408,9.46351009,8.89321827,9.42233258,0.09883753,0.09332039,0.00016265,0.09629600,0.00277200,0.00000020
0.13000000,1.00000000,0.50000000,0.46364761,0.14735000,0.10400000,0.04585000,0.10400000,0.95415000,0.35964761,0,0,1,9.13945592,9.72374721,9.08685809,9.67432660,0.10733645,0.10086403,0.00020685,0.10437658,0.00323050,0.00000030
0.14000000,1.00000000,0.50000000,0.46364761,0.15085000,0.11200000,0.04935000,0.11200000,0.95065000,0.35164761,0,0,1,9.34202811,9.98602432,9.27937870,9.92743983,0.11587664,0.10837336,0.00025842,0.11247067,0.00372400,0.00000042
0.15000000,1.00000000,0.50000000,0.46364761,0.15435000,0.12000000,0.05285000,0.12000000,0.94715000,0.34364761,0,0,1,9.54460109,10.25038610,9.47077423,10.18167814,0.12445824,0.11584874,0.00031792,0.12057934,0.00425250,0.00000059
0.16000000,1.00000000,0.50000000,0.46364761,0.15785000,0.12800000,0.05635000,0.12800000,0.94365000,0.33564761,0,0,1,9.74722606,10.51687765,9.66103851,10.43704770,0.13308137,0.12329050,0.00038594,0.12870366,0.00481600,0.00000081
0.17000000,1.00000000,0.50000000,0.46364761,0.16135000,0.13600000,0.05985000,0.13600000,0.94015000,0.32764761,0,0,1,9.94995493,10.78554453,9.85016504,10.69355502,0.14174618,0.13069900,0.00046306,0.13684474,0.00541450,0.00000109
0.18000000,1.00000000,0.50000000,0.46364761,0.16485000,0.14400000,0.06335000,0.14400000,0.93665000,0.31964761,0,0,1,10.15284041,11.05643278,10.03814700,10.95120690,0.15045276,0.13807460,0.00054984,0.14500365,0.00604800,0.00000144
0.19000000,1.00000000,0.50000000,0.46364761,0.16835000,0.15200000,0.06685000,0.15200000,0.93315000,0.31164761,0,0,1,10.35593603,11.32958897,10.22497726,11.21001048,0.15920121,0.14541767,0.00064688,0.15318152,0.00671650,0.00000187
0.20000000,1.00000000,0.50000000,0.46364761,0.17185000,0.16000000,0.07035000,0.16000000,0.92965000,0.30364761,0,0,1,10.55929618,11.60506021,10.41064835,11.46997322,0.16799161,0.15272855,0.00075476,0.16137946,0.00742000,0.00000240
0.21000000,1.00000000,0.50000000,0.46364761,0.17535000,0.16800000,0.07385000,0.16800000,0.92615000,0.29564761,0,0,1,10.76297610,11.88289420,10.59515248,11.73110294,0.17682403,0.16000762,0.00087408,0.16959859,0.00815850,0.00000304
0.22000000,1.00000000,0.50000000,0.46364761,0.17885000,0.17600000,0.07735000,0.17600000,0.92265000,0.28764761,0,0,1,10.96703199,12.16313927,10.77848150,11.99340776,0.18569853,0.16725524,0.00100541,0.17784006,0.00893200,0.00000382
0.23000000,1.00000000,0.50000000,0.46364761,0.18235000,0.18400000,0.08085000,0.18400000,0.91915000,0.27964761,0,0,1,11.17152100,12.44584438,10.96062693,12.25689616,0.19461514,0.17447178,0.00114936,0.18610501,0.00974050,0.00000475
0.24000000,1.00000000,0.50000000,0.46364761,0.18585000,0.19200000,0.08435000,0.19200000,0.91565000,0.27164761,0,0,1,11.37650126,12.73105919,11.14157994,12.52157700,0.20357387,0.18165761,0.00130653,0.19439461,0.01058400,0.00000585
